Job	Company	Salary	Location
Postdoctoral Researcher – Ultrafast Spectroscopy of Nanostru...	National Renewable Energy Laboratory	48500.0	Golden, CO 80401
Azure Data Architect	Quisitive	148500.0	Denver, CO
Systems Engineer - Louisville	Kelvin Inc.	99500.0	Louisville, CO
Systems Software Engineer	Xcalar	131500.0	Boulder, CO
Software Engineer	Rincon Research Corporation	127500.0	Centennial, CO
SOFTWARE ARCHITECT-RS 4	ULA	139000.0	Denver, CO
Software Engineer, VOD Engineering Group	Comcast	122500.0	Denver, CO 80202 (Lodo area)
Manager, UX Design	Carbon Black	107000.0	Boulder, CO
Engineer Associate - Systems (665157)	Ball Aerospace	87500.0	Boulder, CO
Full Stack Developer	ClimaCell	107000.0	Boulder, CO
Lead Solution Architect	Transamerica	128000.0	Denver, CO 80221
Software Engineer	Koverse	119500.0	Denver, CO
WH Design: Platform Designer/Information Architect (Design)...	IBM	129000.0	Greenwood Village, CO 80110
Full Stack Engineer	Xcalar	108000.0	Boulder, CO
Principal Systems Engineer	Radiant Solutions	132500.0	Westminster, CO
Sr. Software Engineer - Predictive Modeling	Alteryx, Inc.	122500.0	Broomfield, CO 80021
DevOps Architect-RS 4	ULA	116500.0	Denver, CO
Project Engineer I - Mechanical (664882)	Ball Aerospace	100000.0	Boulder, CO
DevOps Engineer-RS 3	ULA	100500.0	Denver, CO
Ground Systems Engineer I (664351) - Security clearance requ...	Ball Aerospace	77500.0	Boulder, CO
DevOps Engineer	Koverse	146000.0	Denver, CO
Electrical Engineer I - Focal Plane Electronics (665758)	Ball Aerospace	98500.0	Boulder, CO
Mid-Level Systems Engineer - SV Payload Engineer	BOEING	104000.0	Aurora, CO 80011 (Norfolk Glen area)
CIRES/NCEI Post-Doctoral Researcher in Geomagnetism	University of Colorado Boulder	49500.0	Boulder, CO 80303 (Southeast Boulder area)
Sr. Engineer - Detector Engineering (663761)	Ball Aerospace	120000.0	Boulder, CO
Principal Electrical Engineer - Focal Plane Electronics (665...	Ball Aerospace	100000.0	Boulder, CO
Detector Engineering Systems Engineer (663686) - Security Cl...	Ball Aerospace	102500.0	Boulder, CO
Civil Engineer	Kleinfelder, Inc.	75500.0	Denver, CO 80202 (Lodo area)
Ecommerce Manager	Rasa	95000.0	Boulder, CO 80302
Drone/UAV Field Operations Technician	Scientific Aviation	45000.0	Boulder, CO 80301
Software Engineer	SciTec	90000.0	Boulder, CO
IT Sales Executive	Aspen Systems	187500.0	Denver, CO
Senior Cloud Data Architect	Cloudreach	141500.0	Denver, CO
Software Engineer	Nexleaf Analytics	90000.0	Denver, CO
Big Data Solutions Architect	ClearScale	135000.0	Denver, CO 80202 (Lodo area)
Software Engineer	Aptology	100000.0	Denver, CO
Geospatial Architect	xentity corporation	125500.0	Golden, CO
Systems Engineer	Flagship Biosciences	90500.0	Westminster, CO 80021
Senior Software Engineer	SciTec	140000.0	Boulder, CO
UI/UX Engineer, Code & Architecture	DataRobot	118500.0	Denver, CO
Government Services Solution Architect	xentity corporation	149000.0	Golden, CO
Lead Front-End JavaScript Developer	Big Ladder Software	89000.0	Denver, CO 80202 (Lodo area)
Software Engineer II (OPIR Team)	Cosmic AES	91500.0	Centennial, CO 80112
Azure Infrastructure Architect (IaaS)	Quisitive	142000.0	Denver, CO
Senior Front End Engineer, UI/UX team	DataRobot	119000.0	Denver, CO
Independent Consultant - Government Solution Architect	xentity corporation	152000.0	Denver, CO
Senior Software Engineer	Nexleaf Analytics	101500.0	Denver, CO
Senior Software Engineer	Aptology	115000.0	Denver, CO
Senior Backend Engineer	DataRobot	111500.0	Denver, CO
Software Architect	GEI Consultants Inc	110000.0	Denver, CO 80237 (Southeastern Denver area)
Full Stack Software Engineer	Helix	131000.0	Denver, CO 80246 (Southeastern Denver area)
Research Scientist	University of Texas at Austin	125000.0	Austin, TX
Research Engineering/ Scientist Assistant	University of Texas at Austin	30000.0	Austin, TX
Research Associate - Quantitative Analyst Modeler	University of Texas at Austin	75000.0	Austin, TX
Data Science Engineer	Opcity	117500.0	Austin, TX
Digital Signal Processing Scientist	University of Texas at Austin	105998.0	Austin, TX
Research Engineering/ Scientist Assistant, Brumback/Howard l...	University of Texas at Austin	28000.0	Austin, TX
R&D Acoustics Engineering Scientist	University of Texas at Austin	105998.0	Austin, TX
Research Engineering Scientist Associate II, Department of N...	University of Texas at Austin	50000.0	Austin, TX
Signal Processing and Automation Engineering Scientist	University of Texas at Austin	105998.0	Austin, TX
Software Engineer Associate	University of Texas at Austin	75000.0	Austin, TX
R&D Embedded Design Engineering Scientist	University of Texas at Austin	105998.0	Austin, TX
Solution Software Developer / Architect	IBM	138500.0	Austin, TX 73344
Commercial Strategy and Planning, Manager	JUUL Labs	153000.0	Austin, TX
Senior Product Manager, Machine Learning Services	RetailMeNot, Inc.	117500.0	Austin, TX 78701 (Downtown area)
2019 University Security Engineer (Austin, TX & Mountain Vie...	Atlassian	114500.0	Austin, TX
Software Engineer, Senior - Semiconductor Test Systems	National instrument	130500.0	Austin, TX
Lead User Experience Designer	CDK Global	112000.0	Austin, TX 78730
Senior Software Engineer - Black Locus	The Home Depot	124000.0	Austin, TX 78716
Sr. Financial Analyst, Commercial Finance	JUUL Labs	106000.0	Austin, TX
System Architect - Scale and Performance	Cray	139000.0	Austin, TX 78730
Software Engineer - Network Management Systems	Cray	107500.0	Austin, TX 78730
Senior Software Engineer - Core Platform	Babylon Health	129500.0	Austin, TX
Senior Network Engineer	Cray	124500.0	Austin, TX 78730
Data Scientist	ScaleFactor, Inc.	93000.0	Austin, TX
Data Scientist	Cloudflare	120000.0	Austin, TX
Data Scientist and/or Software Engineer	RightPlace Consulting	149500.0	Austin, TX
Applied Machine Learning Engineer	Alegion	165000.0	Austin, TX
Part Time Data Science Instructor	General Assembly	104000.0	Austin, TX 78704 (South Lamar-South Congress area)
Development Director (nonprofit)	NumFOCUS	82500.0	Austin, TX
Lead Front End Engineer	Novi Labs	114000.0	Austin, TX 78723 (Windsor Park area)
Senior Software Engineer, Machine Learning	Procore Technologies	118500.0	Austin, TX
Senior Software Engineer - SparkPredict	SparkCognition	124000.0	Austin, TX 78759 (Arboretum area)
Senior Full Stack Engineer Python/Java	Novi Labs	125000.0	Austin, TX 78723 (Windsor Park area)
Backend Engineer (Javascript)	Suited	110000.0	Austin, TX
Senior Software Engineer – Machine Learning	Victory	126000.0	Austin, TX
Data Scientist	Kaiser Permanente	96500.0	Pasadena, CA 91101
Data Scientist	Sony Pictures Entertainment Inc.	110000.0	Culver City, CA 90232
Associate Data Scientist	Direct-to-Consumer and International	144500.0	Glendale, CA
Data Scientist, Product Analytics	TrueCar, Inc.	130000.0	Santa Monica, CA 90401
Data Scientist - Machine Learning, Ad Tech	Uber	137500.0	Santa Monica, CA 90401
Data Specialist, Arches	The J. Paul Getty Trust	61868.5	Los Angeles, CA 90049
Data Scientist	Meredith Corporation	115000.0	Los Angeles, CA
Data Scientist (Technology)	Hearts and Science	109000.0	Los Angeles, CA
Analyst, Data & Research	Los Angeles Homeless Services Authority	61029.5	Los Angeles, CA 90017
Data Scientist, Machine Learning	Zest Finance	140000.0	Los Angeles, CA
Data Scientist, Theatrical Marketing	Sony Pictures Entertainment Inc.	138500.0	Culver City, CA 90232
Data Scientist	Cigna	143500.0	Santa Monica, CA
Data Scientist (Advisor)	Southern California Edison	143500.0	Irwindale, CA 91702
Associate Data Scientist (Temp)	The Aerospace Corporation	123000.0	El Segundo, CA 90245
Data Science Application Development	Columbus Technologies and Services, Inc.	140000.0	Pasadena, CA 91101
Data Scientist	The Aerospace Corporation	131000.0	El Segundo, CA 90245
Data Scientist, Movie Marketing	Penn Schoen Berland	139000.0	Los Angeles, CA
Research Lab Specialist	USC	60239.0	Los Angeles, CA
Data Scientist III	Health Net of California	118500.0	Woodland Hills, CA
SENIOR STATISTICAL ANALYST, SHERIFF	Los Angeles County Department of Human Resources	61931.5	Los Angeles, CA
Software Engineer, Research Application Development	The J. Paul Getty Trust	84642.0	Los Angeles, CA 90049
Data Scientist - Manager	Capgemini	138500.0	Burbank, CA
CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES	Los Angeles County Department of Human Resources	89637.5	Los Angeles, CA
Engineer Digital 2/3	Northrop Grumman	112500.0	Woodland Hills, CA
Data Science Machine Learning Lead	Booz Allen Hamilton	137500.0	El Segundo, CA
Science Systems Engineer w/Active TS/SCI	Columbus Technologies and Services, Inc.	131500.0	Pasadena, CA 91104
Financial Analyst - Mid Level	BOEING	79500.0	El Segundo, CA
Senior Software Analysis Engineer	The Aerospace Corporation	150000.0	El Segundo, CA 90245
Software Engineer	The Aerospace Corporation	126000.0	El Segundo, CA 90245
Software Engineer	UCLA Health	112000.0	Los Angeles, CA 90079
Senior Finance Analyst	Beckman Coulter - Diagnostics	83000.0	Brea, CA
Senior Software Engineer	Cyndx	143500.0	Santa Monica, CA
Civil Engineer (Hydraulics/Hydrologic)	US Department of the Army	97504.5	Los Angeles, CA
Detector Engineering Project Engineer (664678)	Ball Aerospace	105000.0	Los Angeles, CA
Telco/Media-Anaytics & Cognitive Data Scientist/Senior Manag...	Deloitte	120500.0	Los Angeles, CA 90071
Senior Backend Engineer, DSP	VideoAmp	139000.0	Santa Monica, CA
Software Systems Engineer, Advertising	AT&T	139500.0	Los Angeles, CA
Senior IT Systems Engineer	Magic Leap, Inc.	98500.0	Culver City, CA
Digital Signal Processing Eng (ECE) - AMTS	The Aerospace Corporation	124000.0	El Segundo, CA 90245
Embedded Security Engineer	The Aerospace Corporation	112500.0	El Segundo, CA 90245
Senior Front-end Software Engineer	Smarkets	144500.0	Los Angeles, CA
Software Engineer II	Raytheon	98500.0	El Segundo, CA
Spacecraft / Payload Controls Engineer	The Aerospace Corporation	95000.0	El Segundo, CA 90245
Data Scientist	上海冰鉴信息科技有限公司IceKredit	75000.0	Los Angeles, CA
Data Scientist - LA	CruiTek	160000.0	Los Angeles, CA
Research Analyst	CJ America	80000.0	Los Angeles, CA
Data Scientist/Visualization Master	Intermedia Advertising	111500.0	Los Angeles, CA 90067
Legal Research/Data Analyst	Legalmation	70000.0	Los Angeles, CA 90071
Data Scientist	Conversion Logic	142000.0	Los Angeles, CA 90025
Data Scientist	NEOGOV	112500.0	El Segundo, CA 90245
Market Research Analyst	Gemdale USA Corporation	72500.0	Pasadena, CA
Postdoc Researcher in Machine Learning for Materials	University of California Los Angeles	53358.0	Los Angeles, CA 90024
Software Engineer	Nexleaf Analytics	111500.0	Los Angeles, CA
Digital Marketing Manager	ICONIC Protein	75000.0	Santa Monica, CA 90401
Associate Account Manager - Client Services	TrueData	47500.0	Los Angeles, CA
Senior Scientist /Senior Analytical Chemist	Northridge Institute of Health Sciences&Beauty	77500.0	Northridge, CA
Senior Product Manager - Pivotal Labs	Pivotal Software	139500.0	Santa Monica, CA
Senior Backend Engineer - Trust & Safety	Tinder	181000.0	Los Angeles, CA
Senior Software Engineer	Conversion Logic	147500.0	Los Angeles, CA 90025
Systems Engineer IV w/ Active TS/SCI #2437	CMT Services Inc	123500.0	Pasadena, CA 91109
Senior DevOps Engineer	PlayQ	127000.0	Santa Monica, CA 90401
Data Scientist	FedEx Services	131000.0	Coraopolis, PA
Data Scientist	PNC Financial Services Group	99000.0	Pittsburgh, PA 15289 (Central Business District area)
Data Scientist – Labor Planning/Analytics	DICK'S Sporting Goods	96500.0	Coraopolis, PA 15108
Data Scientist Intern	York Risk Services Group	112500.0	Pittsburgh, PA
Data Scientist	Westinghouse Electric Company	125000.0	Cranberry Township, PA 16066
Financial Research Analyst	The University of Pittsburgh	35100.0	Pittsburgh, PA
Senior Statistician	The University of Pittsburgh	45942.0	Pittsburgh, PA
Research Scientist	The University of Pittsburgh	61542.0	Pittsburgh, PA
Research Technician	The University of Pittsburgh	26832.0	Pittsburgh, PA
Laboratory Research Specialist	The University of Pittsburgh	30810.0	Pittsburgh, PA
Research IT Systems Analyst - Intermediate	UPMC	82000.0	Pittsburgh, PA 15232 (Shadyside area)
SUPERVISORY CIVIL ENGINEER	US Department of the Army	102882.0	Pittsburgh, PA
InterRep,Data Mgt Quant Analysis	BNY Mellon	37500.0	Pittsburgh, PA 15238
Claims Research Analyst	Paragon Asset Recovery Services	31350.0	Coraopolis, PA 15108
Technical Lead - Advanced Data Processing	Petuum	126500.0	Pittsburgh, PA
Software Engineer	Immunetrics	88500.0	Pittsburgh, PA 15203 (Southside Slopes area)
Postdoc in Machine Learning and Genomics	University of Pittsburgh School of Medicine	57500.0	Pittsburgh, PA
Software Developer	Extrel CMS, LLC	72500.0	Pittsburgh, PA
Lead Systems Engineer, Performance & Data Analysis	Argo AI	102500.0	Pittsburgh, PA 15222 (Strip District area)
Postdoctoral Position in Machine Learning and Genomics	University of Pittsburgh School of Medicine	57500.0	Pittsburgh, PA
Full Stack Developer	Cognistx	104500.0	Pittsburgh, PA
Senior Software Developer	Invent Analytics	87000.0	Pittsburgh, PA
Software Engineer - In Test	Petuum	109500.0	Pittsburgh, PA
Senior Software Engineer - Autonomy	Neya Systems	111000.0	Warrendale, PA
Senior Software Engineer - Autonomy	Neya Systems LLC	111500.0	Warrendale, PA 15086
Electrical Engineer	Gaven Industries Inc	82500.0	Saxonburg, PA 16056
Solutions Architect - Healthcare	Petuum	122500.0	Pittsburgh, PA
Senior Software Engineer - Advanced Data Processing	Petuum	108000.0	Pittsburgh, PA
Senior Software Engineer - Machine Learning	Petuum	128500.0	Pittsburgh, PA
MARKET RESEARCH ANALYST	IMW Internet Marketing WorldWide	37086.0	Miami Beach, FL
Front End Software Developer for GIS/Risk Assessment Modelin...	Coastal Risk Consulting, LLC	64500.0	Plantation, FL 33324
Fishery Technician III	Columbia River Inter-Tribal Fish Commission (CRITF...	41893.0	Portland, OR
Data Platform Architect	CDK Global	110500.0	Portland, OR 97201 (Homestead area)
Assay Researcher (Sr. Research Assistant)	Oregon Health & Science University	44551.0	Portland, OR
Full-Stack Software Engineer III for Data Analytics	CDK Global	116500.0	Portland, OR 97201 (Homestead area)
Senior Software Engineer	Walmart Stores	108000.0	Portland, OR 97204 (Downtown area)
Business Systems Analyst III	CDK Global	95500.0	Portland, OR 97201 (Homestead area)
Performance Testing Automation Engineer	NVIDIA	113000.0	Hillsboro, OR
Front End Engineer II (React)	CDK Global	95000.0	Portland, OR 97201 (Homestead area)
Software Engineer II - React	CDK Global	101000.0	Portland, OR 97201 (Homestead area)
Senior Financial Analyst	Autodesk	88500.0	Portland, OR
Software Engineer II - Java	CDK Global	92500.0	Portland, OR 97201 (Homestead area)
Senior Product Manager - Cirium - Portland, Reston or Dallas	Reed Business Information	125000.0	Portland, OR
Full Stack / Front End Software Engineer	Kinsa Inc.	103000.0	Portland, OR
Senior Software Engineer IV - Fortellis Platform (Portland)	CDK Global	120000.0	Portland, OR 97201 (Homestead area)
QA Automation Engineer IV	CDK Global	99000.0	Portland, OR 97201 (Homestead area)
Business Analyst	Sitka Technology Group	62000.0	Portland, OR 97204 (Downtown area)
Lead Front End Engineer (React)	i.t.motives	108000.0	Portland, OR
Senior Front End Engineer (React)	i.t.motives	102500.0	Portland, OR
Senior Software Engineer (Java)	i.t.motives	111000.0	Portland, OR
Lead Software Engineer (Java)	i.t.motives	129000.0	Portland, OR
DevOps Engineer (AWS)	i.t.motives	115000.0	Portland, OR
Data Scientist/Research Technologist (Level 4) - 1037	Comcast	108000.0	Philadelphia, PA 19103
DATA SCIENTIST CO-OP	Comcast	112500.0	Philadelphia, PA 19103
Master Data Scientist	Deloitte	84000.0	Horsham, PA
Data Scientist- Accelerated Enrollment Solutions (AES)	PPD	120500.0	Horsham, PA
Data Scientist II-4238	Comcast	116500.0	Philadelphia, PA 19103
Data Scientist	Piper Companies	130000.0	Malvern, PA 19355
Scientist, Data Science	Johnson & Johnson Family of Companies	110000.0	Spring House, PA
Data Scientist I	Black Knight	104000.0	Philadelphia, PA
Healthcare Data Science Consultant	Accenture	143500.0	Philadelphia, PA 19103
Biological Data Scientist	GlaxoSmithKline	121000.0	Collegeville, PA 19426
Interdisciplinary Engineer/Operations Research Analyst	US Department of Defense	92929.0	Ridley Park, PA
Business Development Specialist (Market Research Analyst)	Sricom	60000.0	Voorhees, NJ 08043
Data Engineer, Analytics & Behavior Science	Comcast	139500.0	Philadelphia, PA 19103
Software Engineer	Clarivate Analytics	100000.0	Philadelphia, PA 19130 (Fairmount-Spring Garden area)
Postdoctoral Researcher	Drexel University	58000.0	Philadelphia, PA
Munitions Response Project Engineer or Scientist	Weston Solutions	81000.0	West Chester, PA
Telco/Media-Anaytics & Cognitive Data Scientist/Senior Manag...	Deloitte	123500.0	Philadelphia, PA 19103
Fraud Risk Group Manager (Fraud Advanced Analytics Group Man...	Citi	151500.0	Wilmington, DE 19894
Sr. Software Engineer - Simulation	Grubhub	126500.0	Philadelphia, PA
Research Solutions Analyst	The J.G. Wentworth Company	42500.0	Chesterbrook, PA 90245
Research Associate	Prelude Therapeutics Incorporated	60000.0	Wilmington, DE
Data Engineer Technical Lead	Jornaya	132500.0	Conshohocken, PA 19428
DevOps Engineer	Childhood Cancer Data Lab	106500.0	Philadelphia, PA 19102 (City Center West area)
Automated Test Engineer	Sidecar	110000.0	Philadelphia, PA 19107 (City Center East area)
Lab-Sarma - Post-Doctoral Fellow	Wistar	47500.0	Philadelphia, PA 19104 (Belmont area)
Software Engineer	IntegriChain	89000.0	Philadelphia, PA 19103
